,_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
306995,325138,3366353,23000224.0,10,2023-01-01T03:01:00,"600 Block William Penn PL Pittsburgh, PA 15219",Y,Central Business District,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,201.0,6.0,6.0,-79.99676213405519,40.44114128169353
307002,325145,3366362,23000265.0,3,2023-01-01T04:29:00,"5100 Block Bigelow BL Pittsburgh, PA 15213",N,North Oakland,4,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 9125 Possible  Stolen Car Recovered / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,403.0,,,,
307004,325147,3366366,23000646.0,10,2023-01-02T00:31:00,"2600 Block Brackenridge ST Pittsburgh, PA 15219",Y,Terrace Village,2,SIMPLE ASSAULT/INJURY,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,510.0,6.0,3.0,-79.96627468118409,40.44686304854702
307015,325158,3366382,23000721.0,24,2023-01-02T07:20:00,"400 Block Taylor ST Pittsburgh, PA 15224",N,Bloomfield,5,HARRASSMENT BY COMUN/ADDRESS,9999 Miscellaneous Report (No Crime),802.0,7.0,2.0,-79.95201254543274,40.46141253144746
307040,325183,3366473,23000772.0,10,2023-01-01T23:30:00,"E Carson ST & S 12th ST Pittsburgh, PA 15203",Y,South Side Flats,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1702.0,3.0,3.0,-79.98642550573209,40.42875761191591
307052,325195,3366491,23000806.0,24,2023-01-02T12:40:00,"400 Block William ST Pittsburgh, PA 15211",Y,Mount Washington,3,HARRASSMENT BY COMUN/ADDRESS,9999 Miscellaneous Report (No Crime),1807.0,,,,
307060,325203,3366500,23000515.0,3,2023-01-01T17:14:00,"Paulson AV & Mayflower ST Pittsburgh, PA 15206",N,Larimer,5,ROBBERY/HIGHWAY/STRONGARM,2702 Aggravated Assault. / 2707 Propulsion of Missiles  / 3701 Robbery.,1208.0,9.0,2.0,-79.91380700541787,40.46235847634643
307061,325204,3366504,23000517.0,3,2023-01-01T17:15:00,"500 Block East Ohio ST Pittsburgh, PA 15212",N,East Allegheny,1,ROBBERY/HIGHWAY/STRONGARM,3701 Robbery.,2304.0,1.0,1.0,-80.00057227399749,40.4535002610431
307073,325216,3366518,23000567.0,26,2023-01-01T00:30:00,"5400 Block Natrona WY Pittsburgh, PA 15201",Y,Upper Lawrenceville,2,HARRASSMENT-OTHER,2709(a) Harassment.,1011.0,7.0,2.0,-79.94995431273753,40.4820600309498
307085,325228,3366534,23000630.0,10,2023-01-02T00:13:00,"300 Block Kennedy AV Pittsburgh, PA 15214",Y,Perry South,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,2615.0,1.0,1.0,-80.01366991829464,40.474265101859885
307092,325235,3366559,23000816.0,10,2023-01-02T13:15:00,"3000 Block Stayton ST Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2715.0,1.0,1.0,-80.02813708321597,40.47200948517659
307094,325237,3366580,23000825.0,10,2023-01-02T13:29:00,"1400 Block Amanda ST Pittsburgh, PA 15210",Y,Carrick,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2902.0,4.0,3.0,-79.98849843646748,40.40223558390776
307103,325246,3366594,23001617.0,3,2023-01-04T00:30:00,"Middle ST & East Ohio ST Pittsburgh, PA 15212",N,East Allegheny,1,ROBBERY/HIGHWAY/OTHER,2702 Aggravated Assault. / 3701 Robbery.,2304.0,1.0,1.0,-79.99916240820835,40.45376016685004
307106,325249,3366597,23000870.0,3,2023-01-02T15:25:00,"400 Block N Highland AV Pittsburgh, PA 15206",N,East Liberty,5,ROBBERY CHAIN STORE /STRONGARM,3929 Retail Theft.,1115.0,9.0,2.0,-79.92217494469345,40.46516578481274
307108,325251,3366600,23001624.0,3,2023-01-04T00:47:00,"2100 Block Rockledge ST Pittsburgh, PA 15212",Y,Spring Hill-City View,1,ROBBERY/RESIDENCE/STRONGARM,2701 Simple Assault. / 2706 Terroristic Threats. / 3304 Criminal Mischief. / 3701 Robbery. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2620.0,1.0,1.0,-79.98992679550486,40.46738316488877
307115,325258,3366624,23001650.0,4,2023-01-04T01:59:00,"2100 Block West Liberty AV Pittsburgh, PA 15226",N,Beechview,6,AGG ASSAULT/OTHER/INJURY,2702 Aggravated Assault.,1920.0,4.0,5.0,-80.02088310688328,40.40277454378022
307147,325290,3366671,23000914.0,10,2023-01-02T17:00:00,"5500 Block Hays ST Pittsburgh, PA 15206",N,East Liberty,5,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709 Harassment (Non-Specific),1113.0,9.0,2.0,-79.9295980729089,40.47044878207938
307158,325301,3366688,23001060.0,10,2023-01-03T00:07:00,"3400 Block Webster AV Pittsburgh, PA 15219",Y,Upper Hill,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,506.0,6.0,3.0,-79.9616500933705,40.45485487361505
307163,325306,3366700,23001102.0,4,2023-01-03T03:50:00,"500 Block Brookline BL Pittsburgh, PA 15226",Y,Brookline,6,AGG ASSAULT/VEHICLE/INJURY,2701 Simple Assault. / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 5104 Resisting Arrest or Other Law Enforcement. / 1515 Notice of Change of Name or Address. / 1785 Proof of Financial Responsibility Following Accident. / 3361  Driving Vehicle at Safe Speed. / 3733 Fleeing or Attempting to Elude Police Officer / 3736 Reckless Driving / 3742 Accidents Involving Death or Personal Injury / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3746 Immediate Notice of Accident to Police Department / 3735.1 Aggravated Assault While DUI / 3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3732.1 Aggravated Assault by Vehicle,1918.0,4.0,5.0,-80.02363456497486,40.396221060759366
307169,325312,3366712,23001165.0,26,2023-01-03T07:35:00,"0900 Block Penn AV Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT-OTHER,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201.0,6.0,6.0,-79.99831048388128,40.44375181461943
307201,325344,3366789,23001325.0,10,2023-01-03T14:39:00,"600 Block East Ohio ST Pittsburgh, PA 15212",N,East Allegheny,1,SIMPLE ASSAULT/NO INJURY,2701(a)(3) Simple Assault - Attempts by Physical Menace ,2304.0,1.0,1.0,-79.99897807207657,40.4539777944947
307208,325351,3366800,23001345.0,10,2023-01-03T15:02:00,"6900 Block Lynn WY Pittsburgh, PA 15208",N,Point Breeze North,4,HARRASSMENT/THREAT/ATTEMPT/PHY,2706 Terroristic Threats.,1405.0,9.0,2.0,-79.90570090926718,40.45458549642937
307209,325352,3366801,23001354.0,10,2023-01-03T15:00:00,"400 Block N Negley AV Pittsburgh, PA 15206",Y,East Liberty,5,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,1115.0,9.0,2.0,-79.9282395704775,40.4667705489182
307212,325355,3366805,23001365.0,4,2023-01-03T15:50:00,"1800 Block Cottage PL Pittsburgh, PA 15212",N,Brighton Heights,1,AGG ASSAULT/GUN/NO INJURY,2701 Simple Assault.,2701.0,1.0,1.0,-80.0419928092309,40.48037651068002
307213,325356,3366807,23001370.0,10,2023-01-03T16:00:00,"500 Block East Ohio ST Pittsburgh, PA 15212",N,East Allegheny,1,SIMPLE ASSAULT/NO INJURY,2701 Simple Assault.,2304.0,1.0,1.0,-80.00057227399749,40.4535002610431
307214,325357,3366808,23001375.0,4,2023-01-03T16:34:00,"1200 Block Mohler ST Pittsburgh, PA 15221",Y,Homewood North,5,AGG ASSAULT/KNIFE/INJURY,907 Possessing Instruments of Crime. / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 2709(a) Harassment. / 3503(b.1) Criminal Trespass - Simple Trespasser,1301.0,9.0,2.0,-79.8864602237102,40.45937083543133
307225,325368,3366822,23001423.0,10,2023-01-03T17:44:00,"100 Block Frustum ST Pittsburgh, PA 15204",Y,Esplen,6,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,2017.0,,,,
307231,325374,3366952,23002028.0,10,2023-01-04T15:00:00,"600 Block Grant ST Pittsburgh, PA 15219",N,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,201.0,6.0,6.0,-79.9948560626431,40.44136296742671
307235,325378,3366960,23002044.0,2,2023-01-01T07:00:00,Zone 3,N,,3,RAPE BY FORCE,3124.1 Sexual Assault,,,,,
307237,325380,3366973,23002054.0,10,2023-01-04T17:51:00,"5600 Block Forward AV Pittsburgh, PA 15217",Y,Squirrel Hill South,4,HARRASSMENT/THREAT/ATTEMPT/PHY,2709 Harassment (Non-Specific),1414.0,5.0,3.0,-79.9269858254165,40.42759402127491
307245,325388,3366982,23002090.0,26,2023-01-04T07:30:00,"300 Block Copperfield AV Pittsburgh, PA 15210",Y,Carrick,3,HARRASSMENT-OTHER,2709(a) Harassment.,2901.0,4.0,3.0,-79.99133364150991,40.395081665209695
307249,325392,3366990,23002110.0,10,2023-01-04T20:02:00,"2300 Block Brownsville RD Pittsburgh, PA 15210",Y,Carrick,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2902.0,4.0,3.0,-79.98552317166529,40.389057269279455
307261,325404,3367005,23002184.0,10,2023-01-04T23:00:00,"2500 Block Park Hill DR Pittsburgh, PA 15221",N,East Hills,5,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1306.0,9.0,2.0,-79.87322714714875,40.4561140005372
307265,325408,3367010,23002204.0,10,2023-01-05T00:45:00,"600 Block Liberty AV Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,201.0,6.0,6.0,-80.00162376467925,40.44178095471391
307270,325413,3367018,23002266.0,10,2023-01-05T03:47:00,"300 Block Kennedy AV Pittsburgh, PA 15214",Y,Perry South,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,2615.0,1.0,1.0,-80.01366991829464,40.474265101859885
307291,325434,3367045,23002406.0,10,2023-01-05T11:42:00,"Liberty AV & 9th ST Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",201.0,6.0,6.0,-79.99797697700726,40.44294454263812
307300,325443,3367059,23002434.0,26,2023-01-05T11:32:00,"6400 Block Station ST Pittsburgh, PA 15206",Y,East Liberty,5,HARRASSMENT-OTHER,3304 Criminal Mischief.,1115.0,9.0,2.0,-79.91874922679266,40.461053189764414
307306,325449,3367072,23002455.0,3,2023-01-05T12:45:00,"900 Block Liberty AV Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY/HIGHWAY/GUN,3701 Robbery.,201.0,6.0,6.0,-79.99793948019179,40.44294530589941
307308,325451,3367078,23002474.0,4,2023-01-05T14:01:00,"200 Block Waldorf ST Pittsburgh, PA 15214",Y,Perry North,1,AGG ASSAULT/GUN/NO INJURY,"901 Criminal Attempt / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 4914 False Identification to Law Enforcement Authorities / 2707.1 Discharge of a Firearm into Occupied Structure",2602.0,1.0,1.0,-80.01553034767885,40.49104525647326
307311,325454,3367085,23002478.0,3,2023-01-05T14:18:00,"1200 Block Banksville RD Pittsburgh, PA 15216",Y,Banksville,6,ROBBERY/HIGHWAY/GUN,2702 Aggravated Assault. / 2901 Kidnapping. / 3701 Robbery. / 5505 Public Drunkenness / 607.03 Discharging Firearm or Airgun / 3802(a)(1) DUI - General Impairment / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2023.0,2.0,5.0,-80.02981025522807,40.418273779748944
307321,325464,3367106,23002529.0,26,2023-01-05T15:40:00,"2000 Block Bedford AV Pittsburgh, PA 15219",Y,Bedford Dwellings,2,HARRASSMENT-OTHER,2709 Harassment (Non-Specific),509.0,,,,
307325,325468,3367121,23002537.0,3,2023-01-05T16:00:00,"1600 Block Lowrie ST Pittsburgh, PA 15212",N,Troy Hill,1,ROBBERY/HIGHWAY/STRONGARM,903 Criminal Conspiracy. / 2701 Simple Assault. / 3701 Robbery. / 3921 Theft by Unlawful Taking or Disposition.,2406.0,1.0,1.0,-79.98356217732481,40.46275129537696
307337,325480,3367149,23002581.0,10,2023-01-05T17:20:00,"100 Block 6th ST Pittsburgh, PA 15222",Y,Strip District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,203.0,6.0,6.0,-80.00274190464333,40.44404737499628
307353,325496,3367205,23002652.0,26,2023-01-05T19:49:00,"1400 Block Kenberma AV Pittsburgh, PA 15216",Y,Beechview,6,HARRASSMENT-OTHER,2709(a) Harassment.,1916.0,4.0,5.0,-80.02222787042766,40.4129429210638
307358,325501,3367214,23002679.0,10,2023-01-05T20:35:00,"700 Block 2nd AV Pittsburgh, PA 15219",N,Bluff,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2706 Terroristic Threats. / 2709(a) Harassment.,103.0,6.0,6.0,-79.99459104985328,40.4353346704734
307359,325502,3367216,23002680.0,10,2023-01-05T21:14:00,"1400 Block Chappel AV Pittsburgh, PA 15216",Y,Banksville,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2023.0,2.0,5.0,-80.03728199972937,40.41310492648139
307361,325504,3367225,23002771.0,10,2023-01-06T02:24:00,"600 Block Smithfield ST Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(3) Harassment No Legitimate Purpose,201.0,6.0,6.0,-79.99740883167522,40.44153322225253
307362,325505,3367227,23002799.0,10,2023-01-06T04:26:00,"700 Block Idlewood AV Pittsburgh, PA 15205",N,East Carnegie,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2805.0,,,,
307363,325506,3367228,23002802.0,26,2023-01-06T04:39:00,Zone 2,N,,2,HARRASSMENT-OTHER,2709(a) Harassment. / 3131(c)(2) Unlawful dissemination of intimate image -- Person depicted is NOT a minor (M2),,,,,
307367,325510,3367233,23002832.0,26,2023-01-05T16:50:00,"800 Block E Warrington AV Pittsburgh, PA 15210",N,Allentown,3,HARRASSMENT-OTHER,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,1803.0,3.0,5.0,-79.99370505985735,40.42180225616373
307371,325514,3367247,23000931.0,4,2023-01-02T17:35:00,"100 Block Amanda AV Pittsburgh, PA 15210",N,Knoxville,3,AGG ASSAULT/OTHER/NO INJURY,2701 Simple Assault. / 5503 Disorderly Conduct. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,3001.0,4.0,3.0,-79.98843660700099,40.40088387870872
307375,325518,3367251,23000936.0,10,2023-01-02T17:52:00,"2000 Block Wharton ST Pittsburgh, PA 15203",Y,South Side Flats,3,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(3) Harassment No Legitimate Purpose / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1702.0,3.0,3.0,-79.976432641371,40.43034081186957
307382,325525,3367268,23002705.0,3,2023-01-05T21:30:00,"1500 Block Fallowfield AV Pittsburgh, PA 15216",N,Beechview,6,ROBBERY/HIGHWAY/GUN,3701 Robbery.,1916.0,4.0,5.0,-80.02417989980968,40.41286578732425
307393,325536,3367285,23002874.0,10,2023-01-06T09:47:00,"1500 Block Cameo WY Pittsburgh, PA 15212",Y,Central Northside,1,SIMPLE ASSAULT/NO INJURY,601.16 Public Urination And Defecation / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2503.0,,,,
307395,325538,3367288,23002735.0,10,2023-01-06T00:20:00,"400 Block Semple ST Pittsburgh, PA 15213",Y,Central Oakland,4,TERRORISTIC THREATS,2706 Terroristic Threats. / 5503 Disorderly Conduct. / 5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,406.0,3.0,3.0,-79.95499607563755,40.43693967948341
307417,325560,3367321,23000957.0,3,2023-01-02T19:15:00,"5500 Block Celadine ST Pittsburgh, PA 15201",Y,Stanton Heights,5,ROBBERY/RESIDENCE/STRONGARM,2701 Simple Assault. / 3701 Robbery.,1018.0,7.0,2.0,-79.94633033911856,40.48080113985826
307422,325565,3367327,23003037.0,4,2023-01-06T16:35:00,"100 Block Bakery Square BL PITTSBURGH, PA 15206",N,Larimer,5,AGG ASSAULT/GUN/NO INJURY,"907 Possessing Instruments of Crime. / 2701 Simple Assault. / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ",1204.0,9.0,2.0,-79.9153891003037,40.456123402239456
307428,325571,3367340,23000981.0,10,2023-01-02T19:47:00,"300 Block Mathews AV Pittsburgh, PA 15210",N,Knoxville,3,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment. / 3503(b.1)(i) Simple Trespasser -- threatening or terrorizing the owner or occupant of the premises,3001.0,3.0,5.0,-79.99306348637869,40.41309748061354
307437,325580,3367350,23002901.0,10,2023-01-06T11:04:00,"Strawberry WY & Smithfield ST Pittsburgh, PA 15219",N,Central Business District,2,SIMPLE ASSAULT/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",201.0,6.0,6.0,-79.99728925825738,40.44215131718937
307440,325583,3367353,23000985.0,10,2023-01-02T20:40:00,"400 Block Moore AV Pittsburgh, PA 15210",Y,Knoxville,3,SIMPLE ASSAULT/NO INJURY,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent,3001.0,3.0,5.0,-79.99515278572079,40.41200603952471
307444,325587,3367358,23003089.0,10,2023-01-06T17:17:00,"1200 Block Woodland AV Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT/NO INJURY,607.07 Carrying Fascimiles of Firearms Prohibited / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,2715.0,1.0,1.0,-80.02751033651488,40.46973962307384
307456,325599,3367376,23003159.0,10,2023-01-06T19:16:00,"700 Block 2nd AV Pittsburgh, PA 15219",N,Bluff,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2701 Simple Assault. / 2709(a) Harassment.,103.0,6.0,6.0,-79.99459104985328,40.4353346704734
307469,325612,3367391,23000994.0,10,2023-01-02T20:35:00,"Allegheny SQ Pittsburgh, PA 15212",Y,Allegheny Center,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2204.0,1.0,1.0,-80.00702351441754,40.4515019067093
307474,325617,3367401,23002933.0,24,2023-01-06T12:00:00,"2200 Block Railroad ST Pittsburgh, PA 15222",Y,Strip District,2,HARRASSMENT BY COMUN/ADDRESS,2709 Harassment (Non-Specific),203.0,7.0,6.0,-79.98390652676795,40.45361058777878
307479,325622,3367422,23003200.0,10,2023-01-06T21:08:00,"7000 Block Hermitage ST Pittsburgh, PA 15208",N,Homewood North,5,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(3) Harassment No Legitimate Purpose,1301.0,9.0,2.0,-79.89999464647397,40.46127854836831
307486,325629,3367441,23001009.0,10,2023-01-02T21:59:00,"200 Block Parkfield ST Pittsburgh, PA 15210",N,Carrick,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2904.0,4.0,3.0,-79.99041424337442,40.392000269788845
307493,325636,3367453,23001043.0,4,2023-01-02T23:15:00,"Hazelwood AV & Murray AV Pittsburgh, PA 15217",N,Greenfield,4,AGG ASSAULT/STRONGARM/INJURY,2702 Aggravated Assault.,1517.0,5.0,3.0,-79.92817203958893,40.41969099285579
307499,325642,3367464,23004085.0,4,2023-01-08T15:35:00,"800 Block Estella AV Pittsburgh, PA 15210",N,Beltzhoover,3,AGG ASSAULT/GUN/NO INJURY,6110.1 Possesion of Firearm by Minor / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1809.0,3.0,5.0,-80.00057485757094,40.415802723509366
307504,325647,3367472,23004113.0,17,2023-01-08T17:23:00,Zone 2,N,,2,AGGRAVATED INDECENT ASSAULT W/O CONSENT,3124.1 Sexual Assault,,,,,
307527,325670,3367571,23003279.0,4,2023-01-07T00:37:00,"900 Block E Warrington AV Pittsburgh, PA 15210",N,Allentown,3,AGG ASSAULT/GUN/INJURY,2702 Aggravated Assault. / 8106 Shots Fired,1803.0,3.0,5.0,-79.99037528652903,40.4218014882988
307529,325672,3367577,23003304.0,10,2023-01-07T01:30:00,"700 Block Copeland ST Pittsburgh, PA 15232",Y,Shadyside,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",703.0,8.0,2.0,-79.9355163090888,40.45203062271419
307530,325673,3367578,23003307.0,10,2023-01-07T02:20:00,"1300 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,SIMPLE ASSAULT/NO INJURY,2701 Simple Assault.,1702.0,3.0,3.0,-79.98517842560688,40.428614936885786
307538,325681,3367592,23003340.0,10,2023-01-07T03:36:00,"20 Block Strauss ST Pittsburgh, PA 15214",N,Perry South,1,SIMPLE ASSAULT/NO INJURY,2701 Simple Assault. / 2706 Terroristic Threats.,2614.0,6.0,1.0,-80.01969294202442,40.46423270724205
307539,325682,3367594,23003344.0,10,2023-01-07T02:53:00,"Penn AV & 7th ST Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,201.0,6.0,6.0,-80.00026266860701,40.44323848826997
307546,325689,3367611,23003373.0,10,2023-01-07T04:52:00,"2400 Block Bedford AV Pittsburgh, PA 15219",Y,Bedford Dwellings,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,509.0,6.0,3.0,-79.97427399849045,40.44961434187343
307577,325720,3367656,23003548.0,4,2023-01-07T15:07:00,"2500 Block Park Hill DR Pittsburgh, PA 15221",Y,East Hills,5,AGG ASSAULT/OTHER/INJURY,"2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",1306.0,9.0,2.0,-79.87322714714875,40.4561140005372
